Date,Open,High,Low,Close,Adj Close,Volume
2023-07-14,125.13,127.09,124.90,125.70,125.25,20482800
2023-07-13,121.54,125.33,121.06,124.83,124.38,31535900
2023-07-12,119.30,120.96,119.00,119.62,119.19,22059600
2023-07-11,116.76,118.22,115.83,117.71,117.29,18286600
2023-07-10,119.07,119.07,116.64,116.87,116.45,32960100
2023-07-07,120.89,121.75,120.09,120.14,119.71,20982400
2023-07-06,120.64,121.15,119.25,120.93,120.50,17732500
2023-07-05,120.06,123.37,120.06,122.63,122.19,17830300
2023-07-03,120.32,121.02,119.71,120.56,120.13,13888300
2023-06-30,121.10,122.03,120.88,120.97,120.54,23865800
2023-06-29,120.09,120.91,119.21,120.01,119.58,18517500
2023-06-28,117.96,121.27,117.60,121.08,120.65,19753100
2023-06-27,117.84,119.89,116.91,119.01,118.58,27221700
2023-06-26,121.47,122.72,118.99,119.09,118.66,23185000
2023-06-23,122.04,123.44,121.86,123.02,122.58,29542900
2023-06-22,120.66,123.93,119.60,123.87,123.43,20781900
2023-06-21,123.24,123.41,120.86,121.26,120.83,22612000
2023-06-20,123.54,125.18,122.83,123.85,123.41,22698000
2023-06-16,126.70,126.70,123.79,124.06,123.62,56686800
2023-06-15,123.88,126.16,123.14,125.79,125.34,24517100
2023-06-14,123.80,124.79,122.16,124.38,123.93,24659600
2023-06-13,125.65,125.86,123.85,124.43,123.98,19287700
2023-06-12,123.39,124.75,122.35,124.35,123.90,22255700
2023-06-09,122.56,124.29,122.42,122.87,122.43,20304500
2023-06-08,122.58,123.73,122.01,122.67,122.23,24815000
2023-06-07,127.57,129.55,122.63,122.94,122.50,34179300
2023-06-06,126.60,128.88,125.97,127.91,127.45,19450100
2023-06-05,124.61,127.99,124.38,126.63,126.18,22672500
2023-06-02,124.49,126.75,124.35,125.23,124.78,19362400
2023-06-01,123.50,125.04,123.30,124.37,123.92,25017700
2023-05-31,123.70,124.90,123.10,123.37,122.93,41548800
2023-05-30,126.29,126.38,122.89,124.64,124.19,27230700
2023-05-26,124.07,126.00,123.29,125.43,124.98,25154700
2023-05-25,125.21,125.98,122.90,124.35,123.90,33812700
2023-05-24,121.88,122.75,120.75,121.64,121.20,23087900
2023-05-23,124.93,125.42,123.05,123.29,122.85,24477900
2023-05-22,123.51,127.05,123.45,125.87,125.42,29760200
2023-05-19,124.20,126.48,122.72,123.25,122.81,30251300
2023-05-18,121.56,123.90,121.49,123.52,123.08,27014500
2023-05-17,120.18,122.28,119.46,121.48,121.05,26659600
2023-05-16,116.83,121.20,116.83,120.09,119.66,32370100
2023-05-15,116.49,118.79,116.48,116.96,116.54,22107900
2023-05-12,117.00,118.26,116.55,117.92,117.50,31272500
2023-05-11,115.86,118.44,114.93,116.90,116.48,57115100
2023-05-10,108.55,113.51,108.48,112.28,111.88,47533500
2023-05-09,108.78,110.60,107.72,107.94,107.55,24782400
2023-05-08,105.79,108.42,105.79,108.24,107.85,17266000
2023-05-05,105.32,106.44,104.74,106.21,105.83,20705300
2023-05-04,106.16,106.30,104.70,105.21,104.83,19780600
2023-05-03,106.22,108.13,105.62,106.12,105.74,17116300
2023-05-02,107.66,107.73,104.50,105.98,105.60,20343100
2023-05-01,107.72,108.68,107.50,107.71,107.32,20926300
2023-04-28,107.80,108.29,106.04,108.22,107.83,23957900
2023-04-27,105.23,109.15,104.42,108.37,107.98,38235200
2023-04-26,105.56,107.02,103.27,104.45,104.08,37068200
2023-04-25,106.61,107.44,104.56,104.61,104.24,31408100
2023-04-24,106.05,107.32,105.36,106.78,106.40,21410900
2023-04-21,106.09,106.64,105.49,105.91,105.53,22379000
2023-04-20,104.65,106.89,104.64,105.90,105.52,22515300
2023-04-19,104.21,105.72,103.80,105.02,104.64,16732000
2023-04-18,107.00,107.05,104.78,105.12,104.74,17641400
2023-04-17,105.43,106.71,105.32,106.42,106.04,29043400
2023-04-14,107.69,109.58,107.59,109.46,109.07,20758700
2023-04-13,106.47,108.26,106.44,108.19,107.80,21650700
2023-04-12,107.39,107.59,104.97,105.22,104.84,22761600
2023-04-11,106.92,107.22,105.28,106.12,105.74,18721300
2023-04-10,107.39,107.97,105.60,106.95,106.57,19741500
2023-04-06,105.77,109.63,104.82,108.90,108.51,34684200
2023-04-05,106.12,106.54,104.10,104.95,104.57,21864200
2023-04-04,104.84,106.10,104.60,105.12,104.74,20377200
2023-04-03,102.67,104.95,102.38,104.91,104.53,20719900
2023-03-31,101.71,104.19,101.44,104.00,103.63,28108000
2023-03-30,101.44,101.61,100.29,101.32,100.96,25009800
2023-03-29,102.72,102.82,101.03,101.90,101.54,26148300
2023-03-28,103.00,103.00,100.28,101.36,101.00,24913500
